Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CAP-SMD_BD8.0-L8.3-W8.3-FD,2,GVT1V227M0810CNVC,
C3,C0603,1,10uF,
D1,SMA_L4.4-W2.8-LS5.4-R-RD,1,SS54_C22452,
L1,IND-SMD_L10.3-W10.3_1274AS-H-330M,1,NBMC1045N-101M,
Q1,SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,1,SI2301CDS-T1-GE3,
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R3, R4, R5, R6, R7, R8, R9",R0603,21,0603WAF1001T5E,
R22,R0603,1,2.2K,
R23,R0603,1,6.8K,
U1,XIAO-ESP32-S3-MOUNT,1,MOUDLE-SEEEDUINO-XIAO-ESP32S3,
"U10, U3, U5",SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,3,ULN2003ADR,
U11,TO-263-5_L10.2-W8.9-P1.70-TL,1,LM2596SX-5.0/NOPB,
"U2, U4, U9",SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,3,"74HC595D,118",
U6,ATX-Sparkfun,1,ATX Power Supply Connector,
U7,CONN-TH_2P-P10.00_DBT10-10.0-2P-BK,1,DBT10-10.0-2P-BK,
U8,AUDIO-TH_PJ-3850-5A,1,PJ-3850-5A,
