Designator,Mid X,Mid Y,Rotation,Layer
C1,205.9,-102.87,0.0,top
C2,205.8,-92.4,90.0,top
C3,189.2,-81.985,90.0,top
D1,215.9,-104.4,180.0,top
L1,217.5,-95.17,90.0,top
Q1,186.75,-86.185,0.0,top
R1,181.079091,-42.085,0.0,top
R10,180.995455,-79.885,0.0,top
R11,180.995455,-84.085,0.0,top
R12,180.995455,-88.285,0.0,top
R13,186.75,-44.185,0.0,top
R14,186.75,-48.385,0.0,top
R15,186.75,-52.585,0.0,top
R16,186.75,-56.785,0.0,top
R17,186.75,-60.985,0.0,top
R18,186.75,-65.185,0.0,top
R19,186.75,-69.385,0.0,top
R2,181.1,-46.285,0.0,top
R20,186.75,-73.585,0.0,top
R21,186.75,-77.785,0.0,top
R22,186.75,-81.185,0.0,top
R23,186.75,-82.785,180.0,top
R3,180.953637,-50.485,0.0,top
R4,180.974546,-54.685,0.0,top
R5,181.037273,-58.885,0.0,top
R6,181.058182,-63.085,0.0,top
R7,180.995455,-67.285,0.0,top
R8,180.995455,-71.485,0.0,top
R9,180.995455,-75.685,0.0,top
U1,213.963,-49.087,270.0,top
U10,195.9,-81.005,180.0,top
U11,191.265,-101.08,180.0,top
U2,200.9,-48.8025,180.0,top
U3,192.9,-48.8025,180.0,top
U4,202.4,-64.905,180.0,top
U5,194.4,-64.905,180.0,top
U6,165.325,-65.185,270.0,top
U7,165.765,-100.335,180.0,top
U8,217.9,-65.05,180.0,top
U9,203.9,-81.005,180.0,top
