Designator,Mid X,Mid Y,Rotation,Layer
C1,63.25,-39.0,0.0,top
C2,56.25,-45.5,0.0,top
C3,67.0,-40.25,270.0,top
C4,56.25,-42.0,0.0,top
C5,56.25,-38.5,0.0,top
P1,54.885,-51.97,0.0,top
Q1,56.91,-28.75,0.0,top
R1,47.5,-45.5,180.0,top
R10,19.75,-42.5,0.0,top
R11,52.25,-31.5,270.0,top
R12,47.5,-38.5,180.0,top
R13,51.75,-38.5,180.0,top
R2,51.75,-45.5,180.0,top
R3,37.0,-48.5,0.0,top
R4,19.75,-47.5,0.0,top
R5,37.0,-52.0,0.0,top
R6,19.75,-45.0,0.0,top
R7,47.5,-42.0,180.0,top
R8,51.75,-42.0,180.0,top
R9,37.0,-55.5,0.0,top
U2,31.2646,-35.0063,296.0,top
U5,61.47,-33.75,180.0,top
